rotulo,mae,rmse,r2
Baseline (média histórica),113.07317073170732,233.90893579318947,0.22243105748019898
Regressão Linear Múltipla,132.26711868414506,231.7165902741431,0.23693850678129014
Árvore de Decisão,125.0844512195122,238.41190218557298,0.19220502869276923
Floresta Aleatória (30 árvores),125.64002341741842,250.6478705356392,0.10716065907774186
